hop_count,timeout_count,mean_intermediate_RTT,max_intermediate_RTT,variation,time_of_day,target_RTT
5,2,1.8333333333333335,3.0,0.7264831572567788,business,2.0
10,7,2.3333333333333335,5.0,1.1818736805705576,business,2.0
7,3,12.6,53.0,20.229131908655344,business,53.0
16,5,34.214285714285715,72.33333333333333,31.981544068380007,business,72.0
8,6,13.866666666666665,23.0,9.990217437295568,business,21.666666666666668
10,11,2.055555555555556,4.666666666666667,1.2385276005337753,business,2.0
9,8,19.0,54.333333333333336,24.518322702586083,business,52.0
7,4,12.266666666666667,53.333333333333336,20.53982581339103,business,53.0
8,4,19.0,47.0,18.33131301999497,business,42.0
11,5,15.074074074074073,52.0,16.349408399292578,business,25.666666666666668
10,0,10.481481481481481,23.0,9.608523879272298,business,19.666666666666668
